ScientificName,VietnameseName
- Lai -,Cá vẹt đỏ
Abramites hypselonotus,Cá chép cẩm thạch
Acantopsis choirorhynchus,Horseface loach
Acantopsis octoactinotos,Longnose loach
Anomalochromis thomasi,African butterfly cichlid
Aphyocharax anisitsi,Cá tetra đuôi đỏ
Apistogramma agassizii,Agassiz's dwarf cichlid
Apistogramma bitaeniata,Two-Stripe Dwarf Cichlid
Apistogramma borellii,Yellow dwarf cichlid
Apistogramma cacatuoides,Cockatoo dwarf cichlid
Apistogramma nijsseni,Panda dwarf cichlid
Apistogramma trifasciata,Three-Stripe Dwarf Cichlid
Apteronotus albifrons,Cá dao ma đen
Apteronotus leptorhynchus,Cá dao ma nâu
Astatoreochromis alluaudi,Allauad's haplo
Astatotilapia latifasciata,Zebra obliquidens
Astyanax mexicanus,Cá hang động mù
Aulonocara baenschi,Sunshine peacock cichlid
Aulonocara jacobfreibergi,Eureka red peacock
Aulonocara steveni,Pale usisya aulonocara
Barbonymus schwanenfeldii,Cá đòng đong thiếc
Barbus brevipinnis,Cá đòng đong vây ngắn
Beaufortia kweichowensis,Chinese hillstream loach
Boehlkea fredcochui,Cá tetra xanh
Botia almorhae,Yoyo loach
Botia dario,Bengal loach
Botia kubotai,Burmese border loach
Botia striata,Zebra loach
Carassius auratus,Cá vàng
Carnegiella marthae,Cá rìu vạch cánh đen
Carnegiella strigata,Cá rìu vạch cẩm thạch
Champsochromis spilorhynchus,Spilo
Chitala chitala,Cá thát lát
Chromidotilapia guentheri,Guenther's Mouthbrooder
Chromobotia macracanthus,Clown loach
Clarias batrachus,Cá trê trắng
Colossoma bidens,Cá chim đen
Copadichromis borleyi,Red fin hap
Crossocheilus siamensis,Cá may Xiêm
Cynotilapia afra,"Afra cichlid, dogtooth cichild"
Cyphotilapia frontosa,Frontosa cichild
Cyphotilapia gibberosa,Frontosa cichild
Cyprinus carpio,"Koi , common carp"
Cyrtocara moorii,"Blue dolphin cichlid, lumphead cichlid"
Danio albolineatus,Cá sọc dưa tím
Danio kerri,Cá sọc dưa ngọc lam
Danio nigrofasciatus,Cá sọc dưa đốm
Danio rerio,Cá ngựa vẳn
Devario aequipinnatus,Cá xảm khổng lồ
Devario malabaricus,Cá xảm Malabar
Devario regina,Cá xảm nữ hoàng
Dicrossus filamentosus,Checkerboard Cichlid
Dimidiochromis compressiceps,Malawi eyebiter
Electrophorus electricus,Cá chình điện
Epalzeorhynchos kalopterus,Cá cáo bay
Erpetoichthys calabaricus,Cá nhiều vây bụi sậy
Etheostoma barrenense,Splendid darter
Etheostoma caeruleum,Rainbow darter
Etheostoma spectabile,Orangethroat darter
Etheostoma zonale,Banded darter
Etroplus maculatus,Orange chromide
Exodon paradoxus,Cá tetra miệng đen
Fundulopanchax gardneri,Cá đuôi đàn lia xanh
Garra cambodgiensis,Cá may Cambuchia
Gasteropelecus levis,Cá rìu vạch bạc
Gasteropelecus sternicla,Cá rìu vạch thông thường
Gymnocorymbus ternetzi,Cá hắc quần
Gyrinocheilus aymonieri,Cá may
Hemichromis bimaculatus,"Jewel cichlid, two-spotted jewel cichlid"
Hemigrammus erythrozonus,Cá neon lửa cam
Hemigrammus ocellifer,Cá tetra đầu đuôi đèn
Hemigrammus pulcher,Cá tetra ngọc thanh lựu
Hemigrammus rhodostomus,Rummy-nose tetra
Hydrolycus scomberoides,Cá ma cà rồng
Hypancistrus zebra,Cá lau kiếng ngựa vằn
Hyphessobrycon anisitsi,Cá tetra Buenos Aires
Hyphessobrycon erythrostigma,Cá tetra tim đỏ
Hyphessobrycon herbertaxelrodi,Cá neon đen
Hyphessobrycon megalopterus,Cá hắc kỳ
Hyphessobrycon pulchripinnis,Cá neon chanh
Hyphessobrycon roseus,Cá tetra thân vàng đuôi đỏ
Hyphessobrycon serpae,Cá hồng tử kỳ
Hyphessobrycon sweglesi,Cá tetra đỏ chấm đen
Hypostomus plecostomus,Cá lau kiếng miệng hút
Hypostomus punctatus,Cá lau kiểng
Iodotropheus sprengerae,"Rusty cichlid, lavender cichild"
Julidochromis dickfeldi,Julie cichlid
Julidochromis marlieri,Masked Julie
Julidochromis ornatus,Julie cichlid
Julidochromis regani,Julie cichlid
Julidochromis transcriptus,Julie cichlid
Labeotropheus fuelleborni,"Fuelleborn's cichlid, Blue mbuna"
Labidochromis caeruleus,Electric yellow cichlid
Laetacara curviceps,Dwarf flag cichlid
Macrotocinclus affinis,Cá oto vàng
Maylandia callainos,"Cobalt blue cichlid, cobalt zebra cichlid"
Maylandia lombardoi,Kenyi cichlid
Melanochromis auratus,"Auratus cichlid, Malawi golden cichlid"
Melanochromis aurora,Aurora
Melanochromis chipokae,Chipokee cichlid
Melanochromis cyaneorhabdos,"Blue johanni cichlid, Maingano"
Melanochromis joanjohnsonae,Pearl of Likoma
Melanochromis johannii,Johanni cichlid
Metriaclima estherae,Red zebra cichlid
Metynnis argenteus,Cá đô la bạc
Mikrogeophagus altispinosa,Bolivian ram
Mikrogeophagus ramirezi,"Blue ram, German ram"
Misgurnus anguillicaudatus,"Dojo loach, weather loach"
Moenkhausia sanctaefilomenae,Cá tetra mắt đỏ
Myleus schomburgkii,Cá tetra đĩa
Myxocyprinus asiaticus,Chinese high fin banded shark
Nannacara adoketa,Zebra acara
Nannocharax fasciatus,African striped darter
Nematobrycon palmeri,Cá neon hoàng đế
Neolamprologus brichardi,"Lyretail cichlid, fairy cichlid"
Neolamprologus leleupi,Lemon cichlid
Nimbochromis fuscotaeniatus,Fusco
Nimbochromis livingstonii,Livingston's cichlid
Nimbochromis polystigma,Kaligono
Nimbochromis venustus,"Venustus cichlid, giraffe cichild"
Opthalmotilapia ventralis,Featherfin
Otocinclus cocama,Cá oto vằn
Pangio kuhlii,"Kuhli loach, coolie loach"
Paracheirodon axelrodi,Cá neon vua
Paracheirodon innesi,Cá neon thường
Paracheirodon simulans,Cá neon xanh
Parachromis dovii,Cá rô sói
Pelvicachromis pulcher,"Kribensis, krib"
Percina evides,Gilt darter
Phenacogrammus interruptus,Cá tetra Công Gô
Pimephales promelas,Cá tuế đỏ hồng
Poecilia latipinna,Cá molly vây cờ
Poecilia reticulata,Cá bảy màu
Poecilia sphenops,Cá molly đen
Poecilia wingei,Cá bảy màu rừng
Polypterus ornatipinnis,Cá nhiều vây lòe loẹt
Polypterus senegalus,Cá nhiều vây xám
Pristella maxillaris,Cá tetra pristella
Protomelas taeniolatus,Red empress cichlid
Pseudotropheus acei,Yellow-tail acei
Pseudotropheus crabro,"Bumblebee cichlid, hornet cichlid"
Pseudotropheus demasoni,Dwarf Mbuna
Pseudotropheus saulosi,Saulosi
Pterygoplichthys gibbiceps,Cá tỳ bà beo Cá lau kiếng vây buồm báo
Pterygoplichthys multiradiatus,Cá lau kiếng vây buồm
Pterygoplichthys pardalis,Cá lau kiếng Cá lau kiếng Amazon
Pundamilia nyererei,Flameback
Puntius arulius,Cá đòng đong Arulius
Puntius binotatus,Cá đòng đong thông thường
Puntius chola,Cá đòng đong đầm lầy
Puntius conchonius,Cá đòng đong hồng
Puntius denisonii,Cá đòng đong Dentison
Puntius everetti,Cá đòng đong hề
Puntius fasciatus,Cá đòng đong dưa
Puntius gelius,Cá đòng đong vàng
Puntius lateristriga,Cá đòng đong chữ t
Puntius nigrofasciatus,Cá đòng đong ruby đen
Puntius pentazona,Cá ngũ vân
Puntius semifasciolatus,Cá đòng đong vàng
Puntius sophore,Cá đòng đong hồ
Puntius terio,Cá đòng đong một đốm
Puntius tetrazona,Cá tứ vân
Puntius titteya,Cá đòng đong anh đào
Puntius vittatus,Cá đòng đong sọc xanh
Rhampsochromis cf. macrophthalmus,Malawi barracuda
Thayeria boehlkei,Cá chim cánh cụt
Tilapia buttikoferi,Cá rô phi ngựu vằn
Xiphophorus hellerii,Cá đuôi kiếm xanh
Yasuhikotakia modesta,Blue botia
Yasuhikotakia morleti,Skunk loach
Yasuhikotakia sidthimunki,Dwarf loach
